,제품명,용법_인덱스,용법_내용
1422,경남반코마이신주500mg(반코마이신염산염)(수출용)(수출명:Kyungnam vancomycin Injection 500mg),3. 신장애 환자 및 고령 환자,": 신장애 환자의 경우 용량감소가 필요할 수 있다. 미숙아 및 고령 환자의 경우 신기능 감소로 인해 예상보다 더 많은 용량감소가 필요할 수 있다.

이 표는 신기능이 거의 정지된 환자에게는 유효하지 않다. 이러한 환자들에게서 신속한 치료적 혈청농도에 도달하기 위해 체중 Kg당 15mg의 초기용량을 투여해야 한다. 안정적으로 농도를 유지하기 위해 필요한 용량은 1일 체중 Kg당 1.9mg이다. 뚜렷한 신부전이 있는 환자들에게는 이 약물을 하루 단위로 투여하는 것보다는 며칠마다 한번씩 250～1000mg의 유지용량을 투여하는 것이 더 편리할 수 있다. 무뇨증의 경우 매 7～10일마다 1000mg의 용량이 권장된다.
크레아티닌청소율은 다음 공식에 의해 산출한다.
남자 :
           체중(Kg)×(140-연령)
크레아티닌청소율= -----------------------
                      72×혈청크레아티닌(mg/dL)
여자 : 0.85 × 남자
혈청크레아티닌은 신기능의 정상상태를 나타내야 한다. 다음 환자들에서는 실제 크레아티닌청소율보다 높게 나타날 수 있다. : 쇽, 중증 심부전, 빈뇨와 같은 신기능 감소 환자, 비만 또는 간질환, 부종, 복수와 같은 근육량과 체중관계가 비정상인 환자, 쇠약, 영양실조, 비활동성 환자
"
1423,경남반코마이신주500mg(반코마이신염산염)(수출용)(수출명:Kyungnam vancomycin Injection 500mg),4. 소장결장염 및 클로스트리듐 다이피셀에 의해 야기된 항생물질 관련 위막성 대장염치료를 위한 경구투여,"경구용 염산반코마이신은 클로스트리듐 다이피셀에 의한 항생물질 관련 위막성대장염및 포도구균성 소장결장염의 치료에 사용한다. 이 약은 다른 유형의 감염에 대해서는 경구 경로로 효과가 없다. 전신감염의 경우 정맥주사를 통하여 투여된다.
일반적으로 성인은 1일 500～2000mg을 3～4회 분할하여 7～10일동안 투여한다. 총 1일 용량은 2g을 초과해서는 안 된다.
적절한 용량을 약 30g의 물에 희석하여 경구투여할 수 있고 또한 희석된 용액은 비강영양튜브를 통해 투여할 수 있다.
연령, 체중, 증상에 따라 적절히 증감한다.
"
1424,경남반코마이신주500mg(반코마이신염산염)(수출용)(수출명:Kyungnam vancomycin Injection 500mg),<이 약의 조제법>,
1425,경남반코마이신주500mg(반코마이신염산염)(수출용)(수출명:Kyungnam vancomycin Injection 500mg),1. 조제용액의 조제,"이 약 500mg(역가) 당 멸균주사용수 10mL를 가하여 조제용액을 만든다. 이 조제용액의 농도는 50mg/mL이다.
"
1426,경남반코마이신주500mg(반코마이신염산염)(수출용)(수출명:Kyungnam vancomycin Injection 500mg),2. 주사액의 조제,"조제용액은 이 약 500mg 당 생리식염주사액나 5% 포도당 주사액 100～200mL를 가하여 희석한다.
"
1427,경남반코마이신주500mg(반코마이신염산염)(수출용)(수출명:Kyungnam vancomycin Injection 500mg),<투여 시 주의사항>,
1428,경남반코마이신주500mg(반코마이신염산염)(수출용)(수출명:Kyungnam vancomycin Injection 500mg),1. 간헐주입,": 조제된 주사액을 적어도 60분 이상에 걸쳐서 점적 정맥주사한다.
"
1429,경남반코마이신주500mg(반코마이신염산염)(수출용)(수출명:Kyungnam vancomycin Injection 500mg),2. 계속주입,": 간헐주입이 어려울 경우에만 사용한다. 조제된 주사액을 24시간 이상 천천히 점적 정맥주사한다.
"
1430,경남반코마이신주500mg(반코마이신염산염)(수출용)(수출명:Kyungnam vancomycin Injection 500mg),3. 5mg/mL 이하의 농도로 10mg/min 이하의 속도로 투여하는 것이 권장된다.,
1431,경남반코마이신주500mg(반코마이신염산염)(수출용)(수출명:Kyungnam vancomycin Injection 500mg),4. 체액 제한이 필요한 특정환자들에게는 최대 10mg/mL의 농도가 사용될 수 있다. 이렇게 고농도로 사용하면 주입과 관련한 이상반응의 위험이 증가할 수 있다.,
1432,경남베타골드연질캡슐,"성인 1회 1캅셀, 1일 1회 복용한다.",
1433,경남비타민씨정,성인 : 아스코르브산으로서 보통 500~1000mg을 1일 1회 또는 수회(여러 차례) 분할하여 복용한다. 충분한 양의 물과 함께 복용한다.,
1434,경남산소의료용이산화탄소,의사의 지시에 따라 적량 사용한다.,
1435,경남산소의료용질소,의사에 지시에 따라 적정량 사용한다,
1436,경남세파졸린주1그램(세파졸린나트륨)(수출용),○ 성인 : 세파졸린으로서 1일 1g(역가)을 2회 분할 정맥 또는 근육주사한다.,
1437,경남세파졸린주1그램(세파졸린나트륨)(수출용),○ 소아 : 1일 체중 Kg당 20～40mg(역가)을 2회 분할 정맥 또는 근육주사한다.,
1438,경남세파졸린주1그램(세파졸린나트륨)(수출용),"○ 증상 및 감염균의 감수성에서 효과가 불충분하다고 판단되는 경우에는 1일 성인은 1.5～3g(역가), 소아는 체중 Kg당 50mg(역가)을 3회 분할 주사한다. 증상이 특히 중증의 경우에는 1일 성인은 5g(역가), 소아는 체중 Kg당 100mg(역가)까지 투여할 수 있다.",
1439,경남세파졸린주1그램(세파졸린나트륨)(수출용),"연령, 증상에 따라 적절히 증감한다.",
1440,경남세파졸린주1그램(세파졸린나트륨)(수출용),<주사액의 조제>,
1441,경남세파졸린주1그램(세파졸린나트륨)(수출용),"정맥주사 시는 주사용수, 생리식염주사액 또는 5% 포도당 주사액에 녹여 주사한다. 점적 정맥주사 시 녹일 때 주사용수는 사용하지 않는다(등장액이 아님.).",
1442,경남세파졸린주1그램(세파졸린나트륨)(수출용),근육주사 시 0.5% 리도카인주사액 2～3mL에 녹여 주사한다. 또한 온도에 의한 용해도 차에 의하여 가끔 백탁하는 경우가 있으나 이 경우는 온탕으로 따뜻하게 하여 투명한 용액으로 만든 후 사용한다.,
1443,경남세파졸린주1그램(세파졸린나트륨)(수출용),용해 후 신속히 사용하고 보존할 필요가 있는 경우에는 차광하여 실온에서 48시간이내에 사용한다.,
1444,경남세포탁심주1그램(세포탁심나트륨(수출용),○ 성인 및 13세 이상의 소아 : 세포탁심으로서 감염형태에 따라 다음과 같이 정맥 또는 근육주사 한다.,
1445,경남세포탁심주1그램(세포탁심나트륨(수출용),임질 : 1g(역가)을 단 1회 근육주사 한다. 감수성이 낮은 세균에 대해서 투여량을 증가할 수 있다. 환자는 치료 전 매독감염 검사를 해야 한다.,
1446,경남세포탁심주1그램(세포탁심나트륨(수출용),○ 유아 및 12세 이하의 소아 : 일반적으로 감염정도에 따라 1일 체중 Kg당 50～100mg(역가)을 6～12시간 간격으로 분할 정맥주사 한다. 생명에 위험이 있는 감염상태의 경우 1일 체중 Kg당 150～200mg(역가)까지 투여할 수 있다.,
1447,경남세포탁심주1그램(세포탁심나트륨(수출용),○ 미숙아 : 신청소율이 완전히 발달되어 있지 않으므로 1일 체중 Kg당 50mg(역가)를 넘지 않도록 한다.,
1448,경남세포탁심주1그램(세포탁심나트륨(수출용),"○ 신장애 환자 : 크레아티닌청소율이 5mL/min이하인 경우에 한하여 유지량은 상용량의 1/2으로 줄여 투여한다. 초회량은 감수성, 감염정도에 따라 정한다.",
1449,경남세포탁심주1그램(세포탁심나트륨(수출용),"연령, 증상에 따라 적절히 증감한다.",
1450,경남세포탁심주1그램(세포탁심나트륨(수출용),<투여법>,"1. 정맥주사 : 0.5g(역가)은 10mL, 1.0g(역가)은 10mL의 주사용수에 녹여 3～5분간에 걸쳐서 투여한다. 점적 정맥주사(고용량 투여 시)시는 2g(역가)을 생리식염주사액 또는 5% 포도당 주사액 100mL에 녹여 50～60분간에 걸쳐서 투여하며, 단시간 내 점적 정맥주사의 경우에는 주사용수 또는 위의 용액 40mL에 녹여 약 20분간에 걸쳐서 투여한다. 어떠한 경우에도 중탄산나트륨용액을 혼합해서는 안 된다.
2. 근육주사 : 0.5g(역가)의 경우 2mL, 1.0g(역가)의 경우 4mL의 주사용수에 녹여 둔부 깊숙이 주사하며, 둔부 어느 한쪽에 성인의 경우 4mL, 유ㆍ소아의 경우 2mL보다 많은 양을 주사하는 것은 바람직하지 못하다. 1일 용량이 성인의 경우 2g(역가) 유ㆍ소아의 경우 체중 Kg당 100mg(역가)을 초과하거나, 1회 1g(역가)을 1일 2회 이상 주사하는 경우에는 정맥주사 하는 것이 바람직하다. 성인 및 12세 이상의 소아의 경우 근육주사 시 통증을 피하기 위하여 1% 리도카인 용액[1g(역가)의 경우 4mL]에 녹여 사용할 수 있으나, 이 액을 혈관 내 주사로는 절대 사용하지 않는다.
"
1451,경남세포페라탐주1그램(설박탐나트륨.세포페라존나트륨)(수출용),○ 성인 : 세포페라존나트륨 및 설박탐나트륨의 혼합물로서 1일 2～4g(역가)을 2회 분할 정맥주사한다.,
1452,경남세포페라탐주1그램(설박탐나트륨.세포페라존나트륨)(수출용),○ 소아 : 1일 Kg당 40～80mg(역가)을 2～4회 분할 정맥주사한다.,
1453,경남세포페라탐주1그램(설박탐나트륨.세포페라존나트륨)(수출용),"○ 중증, 난치성 감염의 경우 성인은 1일 8g(역가)까지 증량하여 2회 분할 투여하고 소아는 1일 Kg당 160mg(역가)까지 증량하여 2～4회 분할 투여한다.",
1454,경남세푸록심나트륨주750mg(세푸록심나트륨)(수출용),○ 성인 : 세푸록심으로서 1회 750mg(역가) 1일 3회 정맥 또는 근육주사 한다.,
1455,경남세푸록심나트륨주750mg(세푸록심나트륨)(수출용),중증인 경우에는 1회 1.5g(역가)까지 증량하여 1일 3회 정맥주사한다.,
1456,경남세푸록심나트륨주750mg(세푸록심나트륨)(수출용),필요시에는 근육 또는 정맥주사의 투여 횟수를 1일 4회로 할 수 있으며 1일 총 투여량은 3～6g(역가)이다.,
1457,경남세푸록심나트륨주750mg(세푸록심나트륨)(수출용),○ 소아 : 1일 체중 Kg당 30～100mg(역가)을 3～4회 분할 정맥 또는 근육주사한다. 보통 1일 체중 Kg당 60mg(역가)이 적당하다.,
1458,경남세푸록심나트륨주750mg(세푸록심나트륨)(수출용),○ 임질 : 1.5g(역가)을 1회 근육주사한다. 또는 750mg(역가)씩 분할하여 둔부 양쪽에 주사할 수 있다.,
1459,경남세푸록심나트륨주750mg(세푸록심나트륨)(수출용),○ 수막염,
1460,경남세푸록심나트륨주750mg(세푸록심나트륨)(수출용),1) 성인: 1회 3g(역가) 1일 3회 정맥주사한다.,
1461,경남세푸록심나트륨주750mg(세푸록심나트륨)(수출용),2) 유ㆍ소아: 1일 체중 Kg당 200～240mg(역가)을 3～4회 분할 정맥주사한다. 임상증상이 개선되거나 치료 시작 3일후부터는 용량을 1일 체중 Kg당 100mg(역가)으로 감량할 수 있다.,
1462,경남세푸록심나트륨주750mg(세푸록심나트륨)(수출용),○ 수술 후 감염예방,
1463,경남세푸록심나트륨주750mg(세푸록심나트륨)(수출용),"1) 복부, 골반, 정형외과 수술 : 보통 마취유도 시 1.5g(역가)을 정맥주사한다. 추가로 8시간, 16시간(마취유도 시 투여로부터) 후에 각각 750mg(역가)까지 근육주사 할 수 있다.",
1464,경남세푸록심나트륨주750mg(세푸록심나트륨)(수출용),"2) 심장, 폐, 식도 및 혈관수술 : 보통 마취 마취유도 시 1.5g(역가)을 정맥주사한 다음 24～48시간동안 1회 750mg(역가) 1일 3회 근육주사한다.",
1465,경남세푸록심나트륨주750mg(세푸록심나트륨)(수출용),3) 관절전대치술(Total joint replacement) : liquid monomer를 추가하기 전에 세푸록심 분말 1.5g(역가)을 각 pack의 methyl methacrylate cement 중합체와 혼합하여 사용할 수 있다.,
1466,경남세푸록심나트륨주750mg(세푸록심나트륨)(수출용),○ 신기능부전 환자 : 크레아틴청소율이 20mL/min 이하일때 다음과 같이한다.,
1467,경남세푸록심나트륨주750mg(세푸록심나트륨)(수출용),"크레아티닌청소율 10～20mL/min에는 1회 750mg(역가) 1일 2회,",
1468,경남세푸록심나트륨주750mg(세푸록심나트륨)(수출용),"크레아티닌청소율 10mL/min 이하에는 1회 750mg(역가) 1일 1회,",
1469,경남세푸록심나트륨주750mg(세푸록심나트륨)(수출용),"지속적인 복막투석환자는 750mg(역가) 1일 2회 투여,",
1470,경남세푸록심나트륨주750mg(세푸록심나트륨)(수출용),혈액투석환자에는 각 투석이 끝날 때 750mg(역가)씩 한 번 더 투여한다.,
1471,경남세푸록심나트륨주750mg(세푸록심나트륨)(수출용),지속적 동ㆍ정맥 혈액투석 또는 고혈류 혈액여과를 실시하는 환자에는 1회 750mg(역가) 1일 2회 투여함이 적당하나 저혈류 혈액여과를 실시하는 환자에는 일반적 신부전 환자의 경우에 따른다.,
1472,경남세푸록심나트륨주750mg(세푸록심나트륨)(수출용),<이 약의 조제법>,
1473,경남세푸록심나트륨주750mg(세푸록심나트륨)(수출용),"근육주사 시는 250mg(역가)당 주사용수 1mL을 넣어 현탁액으로 하여 주사한다. 정맥주사 시는 250mg(역가)에는 주사용수 2mL이상, 750mg(역가)에는 6mL이상, 1.5g(역가)에는 15mL이상을 넣어 녹인 후 주사한다. 점적정맥 주사 시에는1.5g(역가)을 주사용수 50mL에 녹여 30분간 주사한다. 다만, 중탄산나트륨주사는 이 약의 희석제로 사용하지 않는 것이 바람직하다.",
1474,경남세프라딘주1그램(세프라딘)(수출용),○ 성인 : 세프라딘으로서 1일 2～4g(역가)을 4회 분할 정맥 또는 근육주사한다.,"골감염증의 경우 1회 1g(역가) 1일 4회 정맥주사한다. 단순성 폐렴, 피부 및 피부조직 감염증, 대부분의 감염증의 경우 1회 500mg(역가) 1일 4회 정맥 또는 근육주사한다.
중증감염증(패혈증 등)의 경우에는 1일 8g(역가)까지 증량할 수 있다.
"
1475,경남세프라딘주1그램(세프라딘)(수출용),○ 소아 : 1일 체중 Kg당 50～100mg(역가)을 4회 분할 정맥 또는 근육주사 할 수 있으나 성인량을 초과해서는 안 된다.,
1476,경남세프라딘주1그램(세프라딘)(수출용),○ 신장애 환자,"다음의 크레아티닝 청소율(mL/min/1.73㎡)에 의해 정맥 또는 근육 주사한다. 초회량은 750mg(역가)이고 유지량은 500mg(역가)으로 다음과 같이 투여한다.

"
1477,경남세프라딘주1그램(세프라딘)(수출용),"연령, 증상에 따라 적절히 증감한다. 일반적으로 다른 항생물질 투여와 마찬가지로, 증상이 없어지거나 세균이 없어졌다는 증거가 나타난 후 최소한 48～72시간 후까지 투여하여야 한다.",
1478,경남세프라딘주1그램(세프라딘)(수출용),그룹 에이 베타용혈성연쇄구균 감염증의 경우 류마티스성 열 또는 사구체 신염의 위험을 방지하기 위해 최소한 10일 동안은 투여하는 것이 바람직하다.,
1479,경남세프라딘주1그램(세프라딘)(수출용),<이 약의 조제법>,"정맥주사 시는 이 약 500mg(역가)당 주사용수, 5%포도당 주사액, 생리식염주사액에 녹여 3～5분간에 걸쳐 정맥주사한다.
점적정맥 주사시는 5%, 10%포도당 주사액, 생리식염주사액 등의 보액에 녹여 점적 정맥주사한다.
근육주사 시는 500mg(역가)당 2.0mL의 주사용수, 생리식염주사액에 녹여 근육주사한다.
"
1480,경남셀타연질캡슐,"성인 1회 1캡슐, 1일 1회 식후 복용한다.",
1481,경남씨플러스정,12세 이상 어린이 및 성인 : 1회 2정을 1일 1회 복용 또는 1회 1정씩 1일 2회 복용,
1482,경남아스니친주(L-아스파라긴산-L-오르니친)(수출용),1. 만성간염,"뚜렷한 증상(초기용량치료)에서 엘-아스파라긴산-엘-오르니친으로서 1일 10-20g(2-4앰플)을 적정 수액제에 혼합하여 점적 주사한다.
"
1483,경남아스니친주(L-아스파라긴산-L-오르니친)(수출용),2. 간경변,"가벼운 증상에서 엘-아스파라긴산-엘-오르니친으로서 1회 5g(1앰플), 1일 5-20g(1-4앰플)을 적정 수액제에 혼합하여 점적 주사한다.
중등도의 증상ㆍ간성뇌증(혼수전단계‧혼수포함)에서 엘-아스파라긴산-엘-오르니친으로서 1일 40g(8앰플)까지 적정 수액제에 혼합하여 점적 주사할 수 있다.
증상에 따라 적절히 증감한다.
"
1484,경남아시클로버크림(아시클로버),1) 이 약은 약 4시간 간격으로 1일 5회 환부(질환 부위)에 바른다.,
1485,경남아시클로버크림(아시클로버),"2) 치료는 5일간 계속하여야 하며, 5일간 사용 후에도 치료되지 않을 경우에는 5일간 더 사용할 수 있다.",
1486,경남알마게이트정,"성인 및 12세 이상의 소아 : 알마게이트로서 1회 1 g을 1일 3회, 식후 30분 ∼ 1시간에 씹어서 경구 복용한다. 필요시 취침 전에 1회 더 복용할 수 있다.",
1487,경남암브록솔시럽(암브록솔염산염),성인," : 암브록솔염산염으로서 치료초기에 1회 30 mg 1일 3회 복용하고 계속 치료 시 1회 15 mg 1일 3회 복용한다.
"
1488,경남암브록솔시럽(암브록솔염산염),소아,"5세 이상 : 1회 15 mg 1일 2 ～ 3회 복용한다.
2 ～ 4세 : 1회 7.5 mg 1일 3회 복용한다.
이 약은 식사와 관계없이 복용할 수 있다.
만 2세 미만에게 투여하지 않는다. 다만, 꼭 필요한 경우 의사의 진료를 받는다.
"
1489,경남의료용산소,의사의 지시에 따라 적량 사용한다.,
1490,경남의료용산소,보통 40-100%농도에서 비강캐뉼라 또는 마스크를 사용하여 흡입한다.,
1491,경남진큐텐정,"12세 이상 및 성인 : 1회 1정, 1일 1회 복용한다.",
1492,경남토브라마이신주(토브라마이신)(바이알)(수출용),1. 성인 : 중증 감염 시 토브라마이신으로서 1일 체중 Kg당 3mg(역가)을 3회 분할하여 정맥주사 또는 근육주사 한다.,
1493,경남토브라마이신주(토브라마이신)(바이알)(수출용),생명이 위험한 감염일 경우에는 1일 체중 Kg당 5mg(역가)까지 3～4회 분할하여 투여할 수 있으며 증상이 개선되면 1일 체중 Kg당 3mg(역가)으로 감량해야 한다.,
1494,경남토브라마이신주(토브라마이신)(바이알)(수출용),혈청 농도 측정없이 1일 체중 Kg당 5mg(역가)을 초과하여 투여하지 않는다.,
1495,경남토브라마이신주(토브라마이신)(바이알)(수출용),2. 소아 : 1일 체중 Kg당 5mg(역가)을 3～4회 분할하여 정맥 또는 근육주사한다.,
1496,경남토브라마이신주(토브라마이신)(바이알)(수출용),신생아(생후 1주일 미만) : 1일 체중 Kg당 4mg(역가)을 12시간마다 분할하여 투여한다.,
1497,경남토브라마이신주(토브라마이신)(바이알)(수출용),"치료기간은 보통 7～10일이며, 감염정도에 따라 치료기간을 연장할 수 있으나 이 경우 신장, 전정, 청각기능에 대해 관찰한다(신경독성 발생은 치료기간이 10일 이상일 경우 더 많이 나타난다.).",
1498,경남토브라마이신주(토브라마이신)(바이알)(수출용),3. 신부전 환자,
1499,경남토브라마이신주(토브라마이신)(바이알)(수출용),가능하면 이 약의 혈청 농도를 측정한다.,
1500,경남토브라마이신주(토브라마이신)(바이알)(수출용),초회량으로 체중 Kg당 1mg(역가)을 투여한 후 2회 때부터는 감량하거나 투여간격을 연장하여 투여한다.,
1501,경남토브라마이신주(토브라마이신)(바이알)(수출용),"이 약의 혈청 농도를 직접 측정할 수 없을 때에는 크레아티닌청소율 또는 혈청크레아티닌 농도를 기초로 계산하며 환자의 상태를 관찰하면서 투여량을 조절한다. 단, 투석 중에는 이들 방법을 사용해서는 안 된다.",
1502,경남토브라마이신주(토브라마이신)(바이알)(수출용),<표1>,
1503,경남토브라마이신주(토브라마이신)(바이알)(수출용),,
1504,경남토브라마이신주(토브라마이신)(바이알)(수출용), ,
1505,경남토브라마이신주(토브라마이신)(바이알)(수출용),"1) 투여용량 감량(투여간격 8시간) : 크레아티닌청소율이 70mL/min 이하이거나, 혈청크레아티닌 농도를 알고 있는 경우, 투여량은 신기능 정상 환자의 투여량에 <표 1>의 해당 % 수치를 곱해서 산출한다.",
1506,경남토브라마이신주(토브라마이신)(바이알)(수출용),"환자의 항정상태의 혈청크레아티닌 농도를 아는 경우, 신기능 정상 환자의 용량을 혈청크레아티닌 농도로 나누면 대략적인 투여량을 계산할 수 있다.",
1507,경남토브라마이신주(토브라마이신)(바이알)(수출용),"2) 투여간격 연장(투여량은 정상 환자와 동일) : 환자의 크레아티닌청소율을 측정할 수 없고 환자의 상태가 안정되어 있을 경우, 투여간격은 혈청크레아티닌 농도에 6을 곱하여 얻은 시간 간격으로 투여한다.",
1508,경남토브라마이신주(토브라마이신)(바이알)(수출용),"연령, 증상에 따라 적절히 증감한다.",
1509,경남토브라마이신주(토브라마이신)(바이알)(수출용),<이 약의 조제법>,
1510,경남토브라마이신주(토브라마이신)(바이알)(수출용),"근육주사 시는 생리식염주사액, 주사용수 1.5mL에 녹여 사용한다.",
1511,경남토브라마이신주(토브라마이신)(바이알)(수출용),정맥주사는 성인의 경우 투여량을 생리식염주사액 또는 5% 포도당 주사액 50～100mL에 희석하여 20～60분 동안 점적 정맥주사한다.,
1512,경남토브라마이신주(토브라마이신)(바이알)(수출용),소아의 경우 희석액량을 비례적으로 감량한다. 20분 이내에 점적 정맥주사하면 혈청토브라마이신 농도가 12mg/mL를 넘을 수 있으므로 피하는 것이 좋으며 다른 약물과 혼합투여하지 않는 것이 바람직하다.,
1513,경남토코페롤연질캅셀400아이유,"비타민 E로서 1일 50～1,000 IU를 경구투여 한다.",
1514,경남트라넥사민주500밀리그램(트라넥사민산)(수출용),트라넥사민산으로서 보통 성인 1일 250～500mg을 1～2회에 분할 정맥 또는 근육주사한다.,
1515,경남트라넥사민주500밀리그램(트라넥사민산)(수출용),수술 중ㆍ수술 후의 출혈 등에는 필요에 따라 1회 500～1000mg을 정맥 또는 500～2500mg을 점적 정맥주사한다.,
1516,경남트라넥사민주500밀리그램(트라넥사민산)(수출용),"연령, 증상에 따라 적절히 증감한다.",
1517,경남트라넥삼산주250밀리그램(트라넥삼산)(수출용),성인 :트라넥삼산으로서 보통 성인 1일 250～500mg을 1～2회에 분할 정맥 또는 근육주사한다. 수술 중ㆍ수술 후의 출혈 등에는 필요에 따라 1회 500～1000mg을 정맥 또는 500～2500mg을 점적 정맥주사한다.,"연령, 증상에 따라 적절히 증감한다.
"
1518,경남티어앤톡점안액(트레할로스수화물)(1회용),필요 시 각각의 눈에 1회 1방울 1일 수회 점안한다.,
1519,경남티어앤톡점안액(트레할로스수화물)(1회용),점안 후 남은액과 용기는 버린다(1회용 제제).,
1520,경남헤모퀸 플러스캡슐,성인 및 12세이상 어린이 : 1일 1회 1캡슐 식후복용.,
1521,경남황산겐타마이신크림,"1일 1～4회 환부에 바르고 부드럽게 문지른다. 필요시 거즈를 덮을 수 있다. 전염성 농가진인 경우에는 이 약과 감염부위와의 접촉을 최대한으로 하기 위하여 가피(부스럼, 딱지)를 제거한 후 바르는 것이 바람직하다. 이 때 다른 정상피부가 오염되지 않도록 주의하면서 제거한다.",
1522,경동 모니플루메이트(원료),의약품 조제 또는 제조용,
1523,경동겐타마이신황산염주160밀리그람,(주사제),"1. 신기능정상 환자
보통 치료기간은 7～10일이며, 중증이나 난치성인 경우에는 연장할 수 있다.
1) 성인 : 겐타마이신으로서 1일 체중 Kg당 3mg(역가)을 8시간마다 분할 정맥 또는 근육주사하며 생명이 위독한 경우에는 1일 체중 Kg당 5mg(역가)을 3～4회 분할 주사한다.
증상의 개선에 따라 감량하며 이때 최고혈중농도는 12㎍/mL, 최저혈중농도(차기투여직전)는 2㎍/mL가 넘지 않는 것이 바람직하다.
<표 1>

2) 소아 : 1일 체중 Kg당 6～7.5mg(역가)을 8시간마다 분할 정맥 또는 근육주사 한다.
3) 유아 : 1일 체중 Kg당 7.5mg(역가)을 8시간마다 분할 정맥 또는 근육주사 한다.
4) 미숙아 및 생후 1주 미만의 신생아 : 1일 체중 Kg당 5mg(역가)을 12시간마다 분할 정맥주사 한다.
5) 점적 정맥주사의 경우 미숙아, 신생아, 영아, 유아 또는 소아에 대한 안전성이 확립되어 있지 않다.
6) 근육주사의 경우 미숙아, 신생아에 대한 안전성이 확립되어 있지 않다.
※ 정맥주사
패혈증, 쇽, 울혈성심부전, 혈액학적장애, 중증화상 및 근육량감소 환자 등 근육주사가 부적당한 환자에 정맥주사한다. 주사량은 근육주사와 동일하나 다음과 같이 희석하여 다른 약물과 혼합하지 말고 따로 투여한다. 간헐정맥주사 시 1회 용량을 50～200mL의 생리식염주사액 또는 5% 포도당 주사액에 희석하여 30분～2시간에 걸쳐 점적 정맥주사한다.
유ㆍ소아의 경우 희석액의 약을 적절히 감량 조절한다.
2. 신기능부전 환자
1) 신기능부전 환자에는 신장기능부전의 정도에 따라 용량을 조절한다.
<표 2> 신장기능부전 환자의 용량조절(초회투여후 8시간간격 용량)

겐타마이신의 혈청반감기는 혈청크레아티닌 농도와 밀접한 관계가 있으므로, 투여 간격은 혈청크레아티닌 농도(mg/100mL)를 8배하여 개략 산출할 수 있다.
2) 중증전신감염인 신장애 환자 : 용량을 감소하고 투여횟수를 증가시키는 것이 바람직하다. 이러한 환자는 겐타마이신 혈청농도를 체크하여 용량 조절을 해야만 한다. 초기용량으로는 정상인의 통상 사용량을 투여하고, 이후의 용량(8시간마다 투여)은 정상권장용량을 혈청크레아티닌으로 나누어 개략적으로 구한다.
3) 혈액투석중인 환자에게는 매 투석말기에 성인은 체중 Kg당 1～1.7mg(역가), 소아는 체중 Kg당 2mg(역가)을 투여한다.
3. 요로감염증
정상적인 신기능 환자의 요로감염증에는 1일 1회 160mg(역가)을 투여할 수 있다.
연령, 증상에 따라 적절히 증감한다.
"
1524,경동겐타마이신황산염주160밀리그람,(점안제),"감염부위에 4시간마다 1회 1～2방울을 점안한다. 중증인 경우에는 매 시간 2방울을 점안한다.
연령, 증상에 따라 적절히 증감한다.
"
1525,경동겐타마이신황산염주160밀리그람,(연고제)(크림제),"1일 1～4회 환부에 바르고 부드럽게 문지른다. 필요시 거즈를 덮을 수 있다. 전염성 농가진인 경우에는 이 약과 감염부위와의 접촉을 최대한으로 하기 위하여 가피(부스럼, 딱지)를 제거한 후 바르는 것이 바람직하다. 이 때 다른 정상피부가 오염되지 않도록 주의하면서 제거한다.
"
1526,경동겐타마이신황산염주160밀리그람,(이식제),"- 이 약은 완전히 흡수되므로 별도로 제거할 필요가 없다.
- 수술시 사용하고 남은 이식정은 살균할 수 없으므로 다시 사용하지 말고 버린다.
- 10x10cm 이식정 1개는 5x5cm 이식정 4개와 동등하다.
- 별도의 지시가 없는 한 다음과 같이 사용하고, 이식정을 강하게 누르지 않도록 한다.
1. 감염병소의 외과적 치료 후 병소의 크기에 따라 체중이 50Kg 이하인 경우 10x10cm 이식정 1～3개를, 50Kg이상인 경우 10x10cm이식정 최대 5개를 사용한다.
상처가 작은 경우 이식정을 자르거나 5x5cm 이식정을 한다.
2. 골해면질 이식 또는 접합제 없는(cementless) 인공 관절이식에 있어서, 체중이 50Kg 이하인 환자의 경우 10x10cm 이식정 1～3개를, 50Kg이상인 경우 최대 5개를 사용한다.
3. 감염병소의 외과적 치료 후 연조직 감염의 경우, 병소의 크기에 따라 10x10cm 이식정 최대 3개까지 사용할 수 있다. 병소가 작을 경우, 크기에 맞게 자르거나 5x5cm 이식정을 한다.
"
